V1 V2 V3 V4 V5 V6 V7 V8 V9 V10
1 -0.111944206058979 -0.056187953799963 -0.0282181482762098 0.00128095434047282 -0.00341859320178628 -0.00046680384548381 -3.56371601810679e-05 -0.000353054405422881 -5.7463301345706e-05 -3.2374300644733e-05
2 -0.109230972826481 0.100854031741619 0.00731410598382354 -0.000331843824824318 0.00241600745357573 2.116618634318e-05 3.44841755577363e-05 0.000258894375292584 -1.33704152176506e-05 4.02266014134511e-05
3 -0.112897641956806 -0.0326720736920834 -0.145236968994141 0.00662390328943729 -0.0130482893437147 -0.00269910600036383 -0.000108509899291676 -0.00131874450016767 -0.000379442528355867 -7.17589427949861e-05
4 -0.113141179084778 -0.0533444210886955 -0.157688409090042 0.0071721076965332 -0.0144835161045194 -0.0029099143575877 -0.00012297673674766 -0.00146694935392588 -0.0004061185172759 -8.45304457470775e-05
5 -0.109793290495872 -0.0535833351314068 0.0811320617794991 -0.00369573780335486 0.00601608119904995 0.00159088836517185 3.95980168832466e-05 0.000597488833591342 0.000235386076383293 1.3529002899304e-05
6 -0.108901605010033 0.0916617214679718 0.0124212829396129 -0.000563107081688941 0.00269134482368827 0.000127959079691209 3.52650313288905e-05 0.000285250338492915 3.34810579261102e-06 3.89327469747514e-05
7 -0.11008632183075 0.055939044803381 -0.0506690852344036 0.00232112151570618 -0.00335855782032013 -0.001019490766339 -1.81929081009002e-05 -0.00032917020143941 -0.000154416309669614 -1.71639840118587e-07
8 -0.110668234527111 -0.0177614074200392 0.00073900050483644 -3.11938201775774e-05 -0.000251115765422583 3.44306536135264e-05 -4.6948603085184e-06 -2.7953441531281e-05 7.74883756093914e-06 -6.27640110906214e-06
9 -0.110829822719097 0.0094285337254405 -0.0410405546426773 0.00186254642903805 -0.00335635617375374 -0.000784458417911083 -2.51718029176118e-05 -0.00033668038668111 -0.000113361049443483 -1.34157598949969e-05
10 -0.108010865747929 0.0245115868747234 0.146476060152054 -0.00670828111469746 0.0130108818411827 0.00273156678304076 0.000107062871393282 0.00131288380362093 0.000385334249585867 6.91742461640388e-05
11 -0.109172523021698 0.0162229891866446 0.0764025822281837 -0.00348065258003771 0.0068470723927021 0.00142097158823162 5.67920687899459e-05 0.000691953813657165 0.000199852394871414 3.73598886653781e-05
12 -0.110448151826859 -0.0451865307986736 0.0527193918824196 -0.00241114851087332 0.00372609216719866 0.00104568537790328 2.27306245506043e-05 0.000367893604561687 0.00015632389113307 4.94169944431633e-06
13 -0.111149191856384 0.0196510665118694 -0.0708913207054138 0.00323990569449961 -0.00573794776573777 -0.00135853711981326 -4.25709258706775e-05 -0.000574457517359406 -0.000196861219592392 -2.18840723391622e-05
