V1 V2 V3 V4 V5 V6 V7 V8 V9 V10
1 -0.149267315864563 1.22166020446457e-05 5.25004907103721e-07 -1.23801555673708e-07 2.73093547775716e-08 2.88946750970354e-08 -3.1321832238973e-08 -1.2919919356591e-08 -1.51082240051892e-08 1.04226671737706e-09
2 -0.148976132273674 3.69001791113988e-05 8.19237811811035e-07 -2.8417468911357e-07 1.22693677440111e-08 1.17390356990654e-07 -5.91916915482216e-08 9.24885057429492e-09 -2.35549393323709e-08 1.93851388274879e-08
3 -0.148758381605148 -2.83043482340872e-06 -4.43290900875581e-07 7.01687667969964e-08 -1.28509469732307e-08 -3.80015592327254e-08 -6.62917898353044e-09 -2.77699498951733e-08 -8.96528717930778e-09 -6.4646172859284e-09
4 -0.148195624351501 -8.70673829922453e-06 -7.01543285686057e-07 1.00566808214353e-07 -5.0909250148834e-09 -6.42995985344896e-08 7.67741425988788e-10 -3.38075238914826e-08 -7.03689551073694e-09 -9.86238291034169e-09
5 -0.148774281144142 1.93620944628492e-05 4.97142991662258e-07 -1.49844822772138e-07 3.77028186449024e-09 4.90562968025188e-08 -3.71792907571944e-08 -6.17701090277478e-09 -1.76401062645937e-08 6.87902357299208e-09
6 -0.146471709012985 -7.21884134691209e-05 -3.31670980813215e-06 7.54702568883658e-07 -6.25134788379e-08 -3.38278340450415e-07 9.02679460068612e-08 -9.45393665574557e-08 1.77124377387372e-08 -4.83771636083929e-08
7 -0.149172201752663 1.86593097168952e-05 2.62464709521737e-07 -1.32796117213729e-07 -1.03163984022103e-08 4.02076238970039e-08 -3.67316914662297e-08 -7.59124674232226e-09 -1.75578165340085e-08 7.15930070782633e-09
8 -0.152412489056587 5.82853535888717e-05 4.08987671107752e-06 -7.28464044641441e-07 1.00680871639725e-07 2.22276469230565e-07 -1.05101904068761e-07 3.71234847307278e-08 -3.75399444862978e-08 2.10577191239736e-08
9 -0.149591505527496 1.0264411685057e-06 4.13221187045565e-07 -1.82661779035698e-08 1.25299095543596e-08 -2.10323776173027e-08 -1.55343684582476e-08 -2.20665867800562e-08 -1.19358141148496e-08 -7.40582706271198e-09
10 -0.147363409399986 -4.73400505143218e-05 -2.70867030849331e-06 5.04769786857651e-07 -4.71636667498387e-08 -2.30134986622943e-07 5.62584716590209e-08 -7.15012120622305e-08 8.89474449650152e-09 -3.14186046068698e-08
11 -0.15046738088131 2.43432514253072e-05 1.70999010151718e-06 -3.05120408938819e-07 4.06681124331953e-08 5.4195680831981e-08 -5.37155955271373e-08 1.77734449380296e-09 -2.20253681959548e-08 5.02931030155196e-09
12 -0.147026151418686 -5.05866264575161e-05 -2.85148553302861e-06 5.44461954632425e-07 -5.96067053493243e-08 -2.42981769815742e-07 6.1405344808918e-08 -7.45874402241498e-08 1.03539790075047e-08 -3.33950609388012e-08
13 -0.146070197224617 -6.74731927574612e-05 -3.88307444154634e-06 7.4937986482837e-07 -7.9086959203778e-08 -3.29712406710314e-07 8.75669883271257e-08 -9.17986042736629e-08 1.71874141585704e-08 -4.20026857739231e-08
14 -0.147633075714111 -3.91390130971558e-05 -1.84447162610013e-06 4.23096935264766e-07 -3.35404450879651e-08 -1.9018381181013e-07 4.2164174374193e-08 -6.24991898234839e-08 5.04206809637253e-09 -2.89542434472878e-08
15 -0.150575503706932 -3.38608515448868e-07 9.70697783486685e-07 -7.78605908635654e-08 3.48536559613422e-08 -9.47818534768885e-09 -2.16893312199318e-08 -2.16581383938319e-08 -1.2625569922875e-08 -1.12433582444282e-08
16 -0.150929853320122 2.97313745249994e-05 2.36946698350948e-06 -3.78675622414448e-07 5.07285449202755e-08 1.10781883222444e-07 -6.17150419657264e-08 7.88205767321415e-09 -2.49262868123878e-08 6.25997031988845e-09
17 -0.15098948776722 4.30925101682078e-05 2.30619707508595e-06 -4.82604320950486e-07 4.27467057306785e-08 1.61189802838635e-07 -7.952908021025e-08 1.88301356729426e-08 -2.90250028456285e-08 1.70430141110955e-08
18 -0.148382380604744 -1.2880664144177e-05 -1.01388468465302e-06 1.37748429551721e-07 -2.17702762483896e-08 -8.37962943478487e-08 6.85821532897535e-09 -3.78650142351944e-08 -5.03125363593426e-09 -1.18149543482104e-08
19 -0.149524554610252 2.01356670004316e-05 5.46346200280823e-07 -2.00849285647564e-07 -8.34603497423814e-10 5.58134161110502e-08 -4.09250233701641e-08 -5.42102185363547e-09 -1.90241156161619e-08 6.97209046052194e-09
20 -0.149877935647964 2.42558453464881e-05 1.15884040496894e-06 -2.65301082436054e-07 1.93591489505707e-08 8.20676007151633e-08 -5.0112774374611e-08 -3.57871954292932e-10 -2.10023944902105e-08 7.39373717806302e-09
21 -0.14923869073391 2.54182741628028e-05 8.44801434141118e-07 -2.63956621893158e-07 -7.16980252946087e-10 6.75632350066735e-08 -4.91792846446515e-08 2.652029706951e-10 -2.1116878912153e-08 9.79683179025415e-09
22 -0.148864760994911 -5.20239264005795e-05 -1.05792651083902e-06 4.67175027552003e-07 -1.62611968335113e-09 -2.2250722508943e-07 5.23392600371153e-08 -7.20890227512427e-08 7.55830242837874e-09 -4.28331219382017e-08
